Temp,Humd,Label
75.46288195190782,114.51236017246913,0
22.613085527799473,42.777613142984656,1
23.192432705399135,42.86448610382965,1
22.615529887989943,42.78946506452729,1
23.031446214603175,43.13259945847106,1
22.912691267297426,43.101633943903494,1
22.639384283517067,43.48574886867027,1
24.101271270769637,42.566198106248514,1
29.706096260951952,142.15497639510227,0
24.080079075385658,42.5852074229711,1
24.05113644981706,43.234451473833744,1
23.948373511225952,52.39193347556773,1
23.596349616531146,53.124714404264246,1
23.84318343012158,58.41219648002956,1
24.397986153474182,59.34025052559692,1
24.09031219766414,59.21795063372645,1
24.41164040477716,59.093481056108665,1
23.54495010854761,59.39545692663723,1
23.762674620100665,59.395739276367635,1
126.06971038174773,89.15487497908302,0
24.816502914833272,58.587263582144985,1
25.25446476244203,57.763182116748105,1
127.71089467772906,64.45181144172119,0
25.39977510132431,56.46420403236788,1
25.022109281487666,54.62920282643317,1
50.72448439656404,102.8491209799907,0
25.44931706145544,53.62646504310001,1
25.382708742143013,54.46578810095075,1
137.521207087101,76.50531718934369,0
25.458769945089013,53.645250832261986,1
24.701685649965086,54.37291023686185,1
24.95672574239499,53.04159654874957,1
25.005079770394236,52.5011230692544,1
25.458592012734425,51.70223239682544,1
25.41568150176609,51.665562968327784,1
24.562084132174082,51.44294524492165,1
24.54094958147721,51.036713671690194,1
24.95897498799308,49.756295178032495,1
24.57814001088473,48.50714477761349,1
25.46205352261658,48.78347996657042,1
24.627042134530775,48.79855290155825,1
24.662797163066156,48.96164254365295,1
24.666408904717947,47.73760149616823,1
24.564375901767523,48.085607940855944,1
25.428462440159528,48.12168593609245,1
140.2339463081409,83.20607273622971,0
24.753845636700483,47.112666892266944,1
25.458432107213707,46.92149891465113,1
25.134833017179268,46.517093790059505,1
24.764613851693003,46.860895167716755,1
24.508770026026962,46.015858125794495,1
25.34093750957179,46.12481070651915,1
25.220243085479186,45.7872741699185,1
24.512530633675123,46.17677074634067,1
24.876660060647154,45.924846233144734,1
25.10188216034608,45.6977376117924,1
143.67996953849453,108.09553690227443,0
24.85642061706728,45.49889157456513,1
25.356368085267455,45.216710079150886,1
25.27965955132191,43.92069947591467,1
25.0227020708217,44.20514655133084,1
42.55987823004462,67.30806323090447,0
24.509796707956372,44.161319418529395,1
24.569122526212176,43.797522377273665,1
25.349324013066788,44.152756146954886,1
25.195987420960563,44.3873378557316,1
25.240217866316065,44.34245219615683,1
24.68097978670093,44.41165829783211,1
24.796368216470473,44.268191509843234,1
25.12848128520674,44.2302471916144,1
25.376181776043172,44.04714892859312,1
25.088770964911586,43.78494685972057,1
24.954602740848333,43.49949378337175,1
24.887581370840415,42.93100721845009,1
25.318901158270315,42.54569685765913,1
25.20435046875138,43.140416599738,1
25.10768857477008,43.065516656680096,1
24.67876462833113,43.144553871163616,1
25.309517906322807,43.40339000205684,1
24.640697084181156,43.12617472974862,1
58.12696948277454,37.544116089783046,0
26.283205224065718,43.23001864903423,1
25.459385820875905,43.38657949602679,1
24.662915870384047,43.11750129194109,1
24.747144324959354,42.79377090063835,1
24.536507355062547,42.816694112629136,1
25.189914205128204,43.27260862291697,1
